ruse;an action intended to deceive someone - a trick.
urine;a watery, typically yellowish fluid stored in the bladder and discharged through the urethra.
genius;exceptional intellectual or creative power or other natural ability.
rung;a horizontal support on a ladder for a person's foot.
stun;knock unconscious or into a semi-conscious state.
truing;bring (an object, wheel, or other construction) into the exact shape or position required (both possible spellings accepted).
guitar;a stringed musical instrument, with a fretted fingerboard, typically incurved sides, and six or twelve strings, played by plucking or strumming with the fingers or a plectrum.
tuns;a large beer or wine cask.
guinea;a former British coin minted from gold imported from West Africa, with a value that was later fixed at 21 shillings.
gaunter;(of a person) lean and haggard, especially because of suffering, hunger, or age (comparative adj).
user;a person who uses or operates something.
uteri;the organ in the lower body of a woman or female mammal where offspring are conceived and in which they gestate before birth (plural).
untie;undo or unfasten (something that is tied or tied up).
urinate;discharge urine - pass water.
units;an individual thing or person regarded as single and complete but which can also form an individual component of a larger or more complex whole (plural).
suit;a set of outer clothes made of the same fabric and designed to be worn together, typically consisting of a jacket and trousers or a jacket and skirt.
ursine;of or relating to a bear or the bear family.
turn;move or cause to move in a circular direction wholly or partly around an axis or point.
rust;a reddish- or yellowish-brown flaking coating of iron oxide that is formed on iron or steel by oxidation, especially in the presence of moisture.
nature;the phenomena of the physical world collectively, including plants, animals, the landscape, and other features and products of the earth, as opposed to humans or human creations.
surge;a sudden powerful forward or upward movement, especially by a crowd or by a natural force such as the tide.
untag;remove a tag identifying a person from (digital content, typically a photograph) on a social networking site.
urges;try earnestly or persistently to persuade (someone) to do something (third person).
ruins;the physical destruction or disintegration of something or the state of disintegrating or being destroyed.
gurn;pull a grotesque face.
grunts;(of an animal, especially a pig) make a low, short guttural sound (plural).
nurse;a person trained to care for the sick or infirm, especially in a hospital.
guest;a person who is invited to visit someone's home or attend a particular social occasion.
saute;fried quickly in a little hot fat.
insure;arrange for compensation in the event of damage to or loss of (property), or injury to or the death of (someone), in exchange for regular payments to a company or to the state.
airgun;a gun which fires pellets using compressed air.
runes;a letter of an ancient Germanic alphabet, related to the Roman alphabet (plural).
trug;a shallow oblong basket made of strips of wood, traditionally used for carrying garden flowers and produce.
gutsier;having or showing courage, determination, and spirit (comparative adj).
genus;a principal taxonomic category that ranks above species and below family, and is denoted by a capitalized Latin name, e.g. Leo.
tunas;a large and active predatory schooling fish of warm seas, extensively fished commercially and popular as a game fish (plural).
snug;comfortable, warm, and cosy - well protected from the weather or cold.
suing;institute legal proceedings against (a person or institution), typically for redress.
runt;a small pig or other animal, especially the smallest in a litter.
unset;(of a jewel) not yet placed in a setting - unmounted.
